transaction_id,customer_id,transaction_amount,transaction_date,transaction_count,region,transaction_status
e98aa092-3770-4fdb-9502-5b5a6a244811,CUST2824,3821.34,2023-01-26,3,North,Fail
11ba6918-dba0-41e5-96cf-f5a7b95f0103,CUST1409,2781.84,2023-01-28,0,East,Fail
82b7654b-6eb7-4579-89a0-1a9edec0a7bb,CUST5506,4120.97,2023-01-28,0,South,Fail
f7166574-f400-4d53-b526-0b11f6619ddf,CUST5012,6383.78,2023-01-18,2,South,Success
8632fe26-b507-4068-9c68-1b2fa04fecb3,CUST4657,2651.61,2023-01-04,4,North,Success
ccec8b39-d152-4fcc-8321-638d14d1c64d,CUST3286,2651.63,2023-01-02,1,East,Success
dc6ce7ec-34e9-4380-a031-5a1c62f6754d,CUST2679,6565.65,2023-01-21,5,West,Fail
f2b5bb37-4126-45ad-8e4b-eba2971c3f4b,CUST9935,4375.24,2023-01-18,3,South,Success
f3be17ab-9b8d-42c1-9f6e-07e0d75a7c15,CUST2424,2357.28,2023-01-27,0,South,Success
767bf883-c174-47fd-9c88-ea16f0d7ded9,CUST7912,3909.95,2023-01-01,4,South,Fail
bbd35b23-9d2f-4482-9bc8-44ceb5913525,CUST1520,2364.43,2023-01-03,1,South,Fail
6ba96181-bf22-4d9b-bb82-836e915c751a,CUST1488,2361.7,2023-01-30,6,West,Fail
4d9041d0-ad58-4ea8-9619-077712e99e2b,CUST2535,3364.32,2023-01-25,3,North,Success
b6afb977-2e70-409b-b468-4ea00be616a4,CUST4582,1145.23,2023-01-28,1,South,Success
bb6c0861-cf73-4a57-a705-40a395f3d897,CUST4811,1258.33,2023-01-08,1,East,Success
6d08bbd8-902c-4463-9ea6-20ea2b28b2ef,CUST9279,2250.38,2023-01-06,0,West,Success
b1447f3d-bd86-488d-8a14-20030a721b2d,CUST1434,1796.48,2023-01-14,3,South,Fail
99520dc4-dee0-479d-9236-887f01fc8a8d,CUST4257,3488.14,2023-01-16,2,East,Success
ebf781ab-a1dd-4abb-802d-a10150bbdd1a,CUST9928,1893.13,2023-01-16,4,South,Success
e3d0cd9e-8907-4d1e-9735-3388f4b73913,CUST7873,1471.22,2023-01-07,5,North,Fail
bf4b3a24-54ae-4ff1-8cc1-9bb03b193783,CUST4611,6203.22,2023-01-28,1,West,Fail
d750b3a4-b08a-4a39-9bbb-0ec286fe89dd,CUST8359,2662.74,2023-01-13,0,North,Fail
0a85446e-c248-46a6-8c5f-5494968efa98,CUST5557,3083.33,2023-01-29,5,West,Success
a53856b4-8511-4fd2-8b43-51cdd99191f0,CUST1106,1462.1,2023-01-02,5,South,Fail
e4b06adb-578b-431b-a29c-3c5cf801f1b0,CUST3615,2270.62,2023-01-06,1,South,Success
95a0733b-36f8-48f7-9e9d-dd2df11ea71a,CUST7924,3150.96,2023-01-13,0,West,Fail
38638db7-a5a5-41fd-863d-f2965d6a6d8c,CUST6574,1676.57,2023-01-01,2,East,Fail
ffe157fa-9343-4f54-a4a9-24e568caa98a,CUST5552,3596.98,2023-01-13,2,East,Success
7ff4cf72-f99a-4638-a99a-218b25e4e583,CUST3547,2207.64,2023-01-09,2,South,Fail
37338041-8b25-4eed-bc24-7f78277ee090,CUST4527,2576.41,2023-01-30,6,South,Fail
b1e9e52d-cbfc-44cc-b8ca-1fd4444e8666,CUST6514,2206.46,2023-01-26,6,North,Fail
8d8e1c3f-d7ca-4d9a-89f6-6e4c509dd95c,CUST2674,7526.15,2023-01-26,5,South,Success
b5384d9b-1dfc-4c51-b32f-cf702fa504e1,CUST2519,2960.91,2023-01-15,5,West,Fail
275dca28-d3df-437e-9aae-6a87315e9e8d,CUST7224,1756.62,2023-01-10,0,East,Success
ddf48723-1798-4411-accf-0bc0b5139070,CUST2584,4497.48,2023-01-14,2,East,Fail
93ac4827-d490-4531-bf0a-bfadc18b7082,CUST6881,1619.02,2023-01-23,5,North,Fail
0cc63b93-4f5a-45f4-8b25-70baef4cfcaf,CUST6635,3309.1,2023-01-31,5,East,Fail
0a5f4502-4dd7-42c4-a523-a8c341f06ccc,CUST5333,1118.97,2023-01-24,1,East,Fail
5facd943-4fa8-4a5a-9f57-a2884e6079f2,CUST1711,1534.42,2023-01-26,4,West,Fail
6cd1d7f6-7156-4537-bd44-8b463ac0d33e,CUST8527,3289.3,2023-01-18,3,East,Fail
4150dab8-f4dc-4d3a-b493-0bb14f8c1b01,CUST9785,4312.33,2023-01-22,2,North,Success
95d71ff3-4236-472a-825e-6b421b423216,CUST3045,3247.64,2023-01-23,2,North,Success
15fd3828-7acf-4880-89ca-9dad870f80d6,CUST7201,2813.48,2023-01-16,2,East,Fail
d8617dd1-18f6-4e1e-9c55-aafa17d32897,CUST2291,2564.32,2023-01-05,6,South,Fail
8a4fb23d-7d0b-4920-905e-a9399fc8dd7b,CUST5803,1423.31,2023-01-07,4,East,Success
ab8ff3eb-099e-4492-badb-c316cba2245b,CUST6925,2079.91,2023-01-10,1,North,Fail
00547e83-a78b-4bfa-835f-bbc8829165b9,CUST4150,2367.71,2023-01-07,1,North,Fail
627d1fba-5f06-4995-9433-6f93a30a4291,CUST2139,5057.16,2023-01-31,1,West,Fail
9881aafa-7da8-44d4-9a35-2cf7aa84b5f5,CUST1750,3539.74,2023-01-02,5,East,Success
782e94c2-8fbf-4a8d-b665-cf82a89b5f46,CUST4733,1234.57,2023-01-19,3,East,Fail
c39c5e0e-3aa2-4023-a339-ffc524314564,CUST5741,3505.34,2023-01-24,1,West,Fail
a5de65f1-0837-4dd1-bc0e-8c58d9ef04a1,CUST2307,2458.87,2023-01-18,3,North,Success
47c65c9c-f439-46f9-8f1b-32982a65b956,CUST4814,2125.03,2023-01-02,6,West,Fail
f135225d-36e2-4e37-83af-b55ae473bf9e,CUST2654,4047.43,2023-01-24,2,South,Success
42781018-4286-4ec7-b4c4-de201ce9c74b,CUST7227,4991.54,2023-01-11,5,East,Fail
d86ecf59-e747-4584-a1a6-23c9f613c1bc,CUST5554,4748.77,2023-01-02,2,North,Fail
20b4bf53-a518-4d57-9101-0497e4685635,CUST8428,1959.4,2023-01-02,1,West,Fail
93d057b8-e23f-4be6-b88f-5e7a59e69e46,CUST6977,2553.94,2023-01-19,7,North,Fail
c9ef739d-048b-4712-bfab-38b4ae6ac92d,CUST3664,3517.94,2023-01-16,8,South,Fail
18521ea6-6e4f-42e9-9de7-38097424ccac,CUST7065,4855.04,2023-01-17,0,East,Success
93499eeb-1a30-4e9c-a9a1-62023909e5d2,CUST6820,2345.87,2023-01-30,3,West,Success
1ed4363d-0486-4152-afbe-5fc7436d0dc8,CUST4432,2716.69,2023-01-28,6,North,Success
fddaee75-40ce-4b77-b658-83cb666a9450,CUST5374,1714.42,2023-01-17,1,East,Success
d7950a59-e693-434e-b53a-62482215a727,CUST2169,1639.09,2023-01-06,9,East,Fail
255cc297-c900-4ffc-b98b-37632b2d9995,CUST3803,4475.01,2023-01-02,3,North,Fail
eff76706-ecb9-4e4b-bba3-cb3e0a778669,CUST9751,5873,2023-01-31,3,East,Success
b163d808-e043-4aa4-a9a1-f35882371e77,CUST5010,2875.54,2023-01-17,6,East,Fail
4aba290e-8fd6-4885-8150-9ead8b9b67e0,CUST3677,4923.46,2023-01-03,2,West,Fail
72cd03be-fd03-47f9-8841-59e1cff0fbfc,CUST8573,3571.78,2023-01-28,0,East,Fail
1a71104f-45cf-401c-9d7a-80b184bfdbcc,CUST7216,2159.09,2023-01-06,4,West,Success
300c27b4-be6d-4bda-9e0a-ccdd835530d8,CUST5422,3571.35,2023-01-03,0,East,Success
d858a0f2-0516-424e-94c7-cf2e8cb09517,CUST4598,6431.86,2023-01-20,3,South,Fail
d7551dbf-3e69-48c4-91e7-464caf5d6e91,CUST6313,2928.04,2023-01-03,5,South,Success
cd51c13a-a1a9-4bfe-8126-5ca04d23ae5e,CUST1916,6517.99,2023-01-22,5,West,Fail
11bf9fee-6cbe-4ba4-b434-0568e63873cf,CUST4752,804.42,2023-01-28,4,West,Success
cdf13070-31b0-4ec4-b8c7-1299075ae72d,CUST1525,4496.04,2023-01-08,1,South,Fail
2b2df3ad-2c64-49cf-9ee5-88da597290bd,CUST6168,3113.56,2023-01-13,1,East,Fail
eb1b427d-27ae-4137-ba68-defe49ffacde,CUST7572,2567.01,2023-01-04,1,West,Fail
bcf8495e-3812-4973-abd5-6a6e2abecd3b,CUST5386,3120.91,2023-01-31,2,North,Fail
665773ce-6460-404e-b9a6-6034ea0531ad,CUST2084,1103.47,2023-01-29,3,East,Fail
c3c3ec8b-0065-47b0-ba52-f0b0852f950e,CUST4456,2670.88,2023-01-19,1,East,Fail
a8612918-49d0-41cf-9bf3-ef7f35cd8ede,CUST6155,3563.71,2023-01-08,1,South,Fail
56c6b81a-f702-4df1-a333-84e9fc367b5c,CUST4483,6241.32,2023-01-19,1,West,Fail
634fcd8c-8e27-4fb5-9e01-35bcbb41f7af,CUST9179,2300.46,2023-01-20,2,East,Fail
51e037eb-0aa6-4266-8d3d-af65c88b9ca1,CUST7482,1989.73,2023-01-02,3,West,Fail
b6728733-c9a7-4ab5-a187-2e90ee0e3509,CUST8517,2319.53,2023-01-20,2,West,Fail
fe877c2b-5bd3-4c50-a44a-f9c48d4270c5,CUST3340,4711.21,2023-01-03,2,West,Success
b26c1e5a-097a-46e3-a7f3-4d83e8ea0c3d,CUST5339,3513.53,2023-01-14,3,South,Success
417aae86-0165-435a-a0c5-96520c312846,CUST3287,2287.28,2023-01-22,2,West,Success
4236b52e-f00c-498d-b68c-ddb78e9ab6b8,CUST5040,3853.1,2023-01-19,4,South,Fail
4de7a8bb-3c14-45bb-b881-9843716f1da4,CUST9830,3129.22,2023-01-19,4,North,Success
